paper_id,doi,title,year,journal,diameter_nm,length_um,layers,method,cvd_temperature_C,catalyst,carbon_source,conductivity_Sm,tensile_strength_GPa,youngs_modulus_GPa,notes,status,material_type
CNT_001,10.1038/nature06964,Helical microtubules of graphitic carbon,1991,Nature,1.5,10.0,1,Arc discharge,,,,1200000.0,50.0,1000.0,SWCNT example,Extracted,SWCNT
CNT_002,10.1126/science.287.5453.637,Strength and breaking mechanism of multiwalled carbon nanotubes under tensile load,2000,Science,5.0,50.0,10,CVD,800.0,Fe,CH4,850000.0,63.0,1200.0,MWCNT example,Extracted,MWCNT
CNT_003,10.1103/PhysRevLett.82.944,Elastic and shear moduli of single-walled carbon nanotube ropes,1999,Physical Review Letters,2.0,100.0,1,Laser ablation,,,,1000000.0,45.0,1000.0,SWCNT rope,Extracted,SWCNT
CNT_004,10.1016/j.carbon.2019.01.001,Carbon nanotube electrical conductivity dataset,2019,Carbon,3.5,200.0,1,CVD,750.0,Co,C2H2,920000.0,,,Conductivity focus,Extracted,SWCNT
CNT_005,10.1021/nl990000m,"Nanobeam mechanics: Elasticity, strength, and toughness of nanorods and nanotubes",1997,Science,4.0,15.0,5,Arc discharge,,,,780000.0,150.0,1500.0,High strength,Extracted,MWCNT
CNT_006,SYNTHETIC_006,Synthetic data based on literature ranges (SWCNT),2020,Literature-based synthesis,1.62,475.9,1,Arc discharge,,,,1680602.0,48.7,909.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_007,SYNTHETIC_007,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,1.81,173.5,1,CVD,895.0,Fe,CO,2219971.0,30.1,1495.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_008,SYNTHETIC_008,Synthetic data based on literature ranges (SWCNT),2023,Literature-based synthesis,1.47,267.1,1,CVD,787.0,Ni,CH4,1162261.0,74.0,1119.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_009,SYNTHETIC_009,Synthetic data based on literature ranges (SWCNT),2016,Literature-based synthesis,1.24,262.0,1,Arc discharge,,,,742699.0,102.9,919.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_010,SYNTHETIC_010,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,0.83,471.7,1,Arc discharge,,,,1585661.0,31.9,962.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_011,SYNTHETIC_011,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.77,69.8,1,CVD,710.0,Co/Mo,CH4,1750470.0,67.4,1164.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_012,SYNTHETIC_012,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,2.05,25.3,1,Laser ablation,,,,1316980.0,77.4,1449.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_013,SYNTHETIC_013,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,2.05,265.2,1,HiPco,,,,1979164.0,119.7,1178.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_014,SYNTHETIC_014,Synthetic data based on literature ranges (SWCNT),2016,Literature-based synthesis,1.58,147.7,1,Arc discharge,,,,861479.0,126.3,852.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_015,SYNTHETIC_015,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.73,203.5,1,CVD,704.0,Fe,CO,1987370.0,102.7,1448.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_016,SYNTHETIC_016,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,1.05,432.9,1,Arc discharge,,,,1363271.0,37.6,1018.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_017,SYNTHETIC_017,Synthetic data based on literature ranges (SWCNT),2023,Literature-based synthesis,2.27,299.7,1,CVD,868.0,Co,,1929362.0,116.6,965.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_018,SYNTHETIC_018,Synthetic data based on literature ranges (SWCNT),2023,Literature-based synthesis,1.89,266.1,1,CVD,708.0,Fe,CH4,1671852.0,67.7,1156.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_019,SYNTHETIC_019,Synthetic data based on literature ranges (SWCNT),2012,Literature-based synthesis,1.11,306.2,1,Arc discharge,,,,1085233.0,143.1,1219.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_020,SYNTHETIC_020,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,1.15,465.6,1,Laser ablation,,,,1931064.0,134.6,1363.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_021,SYNTHETIC_021,Synthetic data based on literature ranges (SWCNT),2022,Literature-based synthesis,1.72,442.8,1,CVD,737.0,Co,,1073835.0,107.7,800.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_022,SYNTHETIC_022,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,2.69,13.4,1,Arc discharge,,,,1163106.0,56.7,884.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_023,SYNTHETIC_023,Synthetic data based on literature ranges (SWCNT),2012,Literature-based synthesis,1.34,92.5,1,CVD,867.0,Co,CH4,1122543.0,59.6,1287.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_024,SYNTHETIC_024,Synthetic data based on literature ranges (SWCNT),2011,Literature-based synthesis,1.46,149.6,1,CVD,883.0,Co,CH4,1138902.0,139.0,968.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_025,SYNTHETIC_025,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,1.97,229.4,1,Arc discharge,,,,1576309.0,39.7,1059.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_026,SYNTHETIC_026,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,2.4,190.2,1,Arc discharge,,,,1550303.0,94.3,863.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_027,SYNTHETIC_027,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.13,259.0,1,Arc discharge,,,,2394894.0,69.1,954.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_028,SYNTHETIC_028,Synthetic data based on literature ranges (SWCNT),2011,Literature-based synthesis,1.93,121.0,1,Arc discharge,,,,869755.0,112.9,1071.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_029,SYNTHETIC_029,Synthetic data based on literature ranges (SWCNT),2016,Literature-based synthesis,2.64,341.1,1,Arc discharge,,,,845131.0,95.0,1287.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_030,SYNTHETIC_030,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,2.25,410.4,1,Arc discharge,,,,1410788.0,59.0,865.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_031,SYNTHETIC_031,Synthetic data based on literature ranges (SWCNT),2013,Literature-based synthesis,2.03,442.5,1,CVD,784.0,Fe/Co,Ethanol,2006843.0,78.5,1421.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_032,SYNTHETIC_032,Synthetic data based on literature ranges (SWCNT),2012,Literature-based synthesis,0.99,89.2,1,Laser ablation,,,,1968795.0,31.1,871.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_033,SYNTHETIC_033,Synthetic data based on literature ranges (SWCNT),2013,Literature-based synthesis,2.94,149.1,1,CVD,846.0,Co,,768370.0,32.2,1146.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_034,SYNTHETIC_034,Synthetic data based on literature ranges (SWCNT),2015,Literature-based synthesis,1.61,374.6,1,Arc discharge,,,,1160407.0,95.1,1156.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_035,SYNTHETIC_035,Synthetic data based on literature ranges (SWCNT),2011,Literature-based synthesis,1.38,129.6,1,HiPco,,,,1374464.0,137.0,1242.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_036,SYNTHETIC_036,Synthetic data based on literature ranges (SWCNT),2013,Literature-based synthesis,1.57,326.1,1,Arc discharge,,,,2181319.0,57.6,1149.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_037,SYNTHETIC_037,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,0.85,326.3,1,CVD,982.0,,,1538603.0,31.9,1450.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_038,SYNTHETIC_038,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,2.02,290.4,1,HiPco,,,,690650.0,66.7,934.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_039,SYNTHETIC_039,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,1.5,93.1,1,Arc discharge,,,,2345686.0,113.5,1199.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_040,SYNTHETIC_040,Synthetic data based on literature ranges (SWCNT),2016,Literature-based synthesis,1.26,338.9,1,CVD,776.0,Fe,C2H2,2300246.0,46.4,1296.0,SWCNT synthetic data,Synthetic,SWCNT
CNT_041,SYNTHETIC_041,Synthetic data based on literature ranges (SWCNT),2018,Literature-based synthesis,1.45,406.6,1,Laser ablation,,,,2241372.0,139.6,1158.0,SWCNT synthetic data,Synthetic,SWCNT
