paper_id,doi,title,year,journal,diameter_nm,length_um,layers,method,cvd_temperature_C,catalyst,carbon_source,conductivity_Sm,tensile_strength_GPa,youngs_modulus_GPa,notes,status,material_type,source_reference
REAL_0189,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,1.38,,3,Laser ablation ,,,,3300000.0,,,Individual Bundle,Real,FWCNT,1996 Crystaline ropes of metallic carbon nanotubes
REAL_0190,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,1.38,,8,Laser ablation ,,,,1000000.0,,,Individual Bundle,Real,MWCNT,1996 Crystaline ropes of metallic carbon nanotubes
REAL_0191,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,13.9,,9,Chemical Vapor Deposition,,,,109887.8034537955,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes
REAL_0192,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,8.5,,11,Chemical Vapor Deposition,,,,43003.9784055522,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes
REAL_0193,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,9.5,,16,Chemical Vapor Deposition,,,,7313.5093957112,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes
REAL_0194,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,12.4,,18,Chemical Vapor Deposition,,,,18829.3052679274,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes
REAL_0195,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,15.0,,13,Chemical Vapor Deposition,,,,22646.8506723283,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes
REAL_0196,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,18.5,,18,Chemical Vapor Deposition,,,,16918.591544172497,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes
REAL_0197,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,6.0,,5,Arc-discharge,,,,1180000.0,,,Individual Multiwall CNTs,Real,MWCNT,1996_Electrical Conductivities of Individual Carbon Nanotubes
REAL_0198,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,18.2,,9,Arc-discharge,,,,19200000.0,,,Individual Multiwall CNTs,Real,MWCNT,1996_Electrical Conductivities of Individual Carbon Nanotubes
REAL_0199,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,12.2,,12,Arc-discharge,,,,99520.0,,,Individual Multiwall CNTs,Real,MWCNT,1996_Electrical Conductivities of Individual Carbon Nanotubes
