paper_id,doi,title,year,journal,diameter_nm,length_um,layers,method,cvd_temperature_C,catalyst,carbon_source,conductivity_Sm,tensile_strength_GPa,youngs_modulus_GPa,notes,status,material_type,source_reference,aspect_ratio,log_diameter,is_swcnn,is_cvd,temp_normalized,has_catalyst,has_carbon_source,volume_fraction_est
REAL_0189,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,1.38,455.6,3,Laser ablation ,,,,3300000.0,,,Individual Bundle,Real,FWCNT,1996 Crystaline ropes of metallic carbon nanotubes,330144.92753623193,0.13987940110726874,0,0,0.0,0,0,1.5752993068683052
REAL_0190,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,1.38,455.6,8,Laser ablation ,,,,1000000.0,,,Individual Bundle,Real,MWCNT,1996 Crystaline ropes of metallic carbon nanotubes,330144.92753623193,0.13987940110726874,0,0,0.0,0,0,4.200798151648814
REAL_0191,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,13.9,455.6,9,Chemical Vapor Deposition,,,,109887.8034537955,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes,32776.97841726619,1.1430148314983013,0,0,0.0,0,0,0.04658143988406398
REAL_0192,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,8.5,455.6,11,Chemical Vapor Deposition,,,,43003.9784055522,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes,53600.0,0.9294189768077582,0,0,0.0,0,0,0.1522491349480969
REAL_0193,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,9.5,455.6,16,Chemical Vapor Deposition,,,,7313.5093957112,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes,47957.89473684211,0.9777236510040539,0,0,0.0,0,0,0.1772853185595568
REAL_0194,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,12.4,455.6,18,Chemical Vapor Deposition,,,,18829.3052679274,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes,36741.93548387097,1.0934217201859822,0,0,0.0,0,0,0.11706555671175857
REAL_0195,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,15.0,455.6,13,Chemical Vapor Deposition,,,,22646.8506723283,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes,30373.333333333332,1.1760912880086458,0,0,0.0,0,0,0.057777777777777775
REAL_0196,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,18.5,455.6,18,Chemical Vapor Deposition,,,,16918.591544172497,,,Individual Multiwall CNTs,Real,MWCNT,1996 Probing Electrical Transport in Nanomaterials: Individual Singlewalled Carbon Nanotubes,24627.027027027027,1.2671717518783905,0,0,0.0,0,0,0.052593133674214754
REAL_0197,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,6.0,455.6,5,Arc-discharge,,,,1180000.0,,,Individual Multiwall CNTs,Real,MWCNT,1996_Electrical Conductivities of Individual Carbon Nanotubes,75933.33333333333,0.7781513227660513,0,0,0.0,0,0,0.1388888888888889
REAL_0198,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,18.2,455.6,9,Arc-discharge,,,,19200000.0,,,Individual Multiwall CNTs,Real,MWCNT,1996_Electrical Conductivities of Individual Carbon Nanotubes,25032.967032967033,1.2600714118474083,0,0,0.0,0,0,0.02717063156623597
REAL_0199,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,12.2,455.6,12,Arc-discharge,,,,99520.0,,,Individual Multiwall CNTs,Real,MWCNT,1996_Electrical Conductivities of Individual Carbon Nanotubes,37344.26229508197,1.086359866272655,0,0,0.0,0,0,0.0806234883095942
REAL_0200,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1996,Meta-Analysis Database,14.8,455.6,7,Arc-discharge,,,,480000.0,,,Individual Multiwall CNTs,Real,MWCNT,1996_Electrical Conductivities of Individual Carbon Nanotubes,30783.783783783783,1.170261744739178,0,0,0.0,0,0,0.031957633308984656
REAL_0213,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1999,Meta-Analysis Database,20.0,455.6,7,Arc-discharge,,,,190000.0,,,Individual Multiwall CNTs,Real,MWCNT,1999_Electrical transport in pure and boron-doped carbon nanotubes,22780.0,1.3010300173787048,0,0,0.0,0,0,0.0175
REAL_0214,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),1999,Meta-Analysis Database,20.0,455.6,19,Arc-discharge,,,,1400000.0,,,Individual Multiwall CNTs,Real,MWCNT,1999_Electrical transport in pure and boron-doped carbon nanotubes,22780.0,1.3010300173787048,0,0,0.0,0,0,0.0475
REAL_0226,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2000,Meta-Analysis Database,1.4,455.6,3,Laser ablation ,,,,258000.0,,,Individual Bundle,Real,FWCNT,2000 Transport properties of a potassium-doped single-wall carbon nanotube rope,325428.5714285714,0.1461283458884714,0,0,0.0,0,0,1.5306122448979596
REAL_0227,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2000,Meta-Analysis Database,1.0,455.6,2,Not Reported/ Can not calculate,,,,18700000.0,,,Individual FWCNT,Real,FWCNT,2000_High-field electrical transport in single-wall carbon nanotubes,455600.0,4.3429426472042774e-07,0,0,0.0,0,0,2.0
REAL_0228,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2000,Meta-Analysis Database,1.4,455.6,3,Buckypaper,,,,1975.13818071,,,Unaligned Few-wall CNTs,Real,FWCNT,2000_Optical and dc conductivity study of potassium-doped single-walled carbon nanotube films,325428.5714285714,0.1461283458884714,0,0,0.0,0,0,1.5306122448979596
REAL_0229,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2000,Meta-Analysis Database,1.4,455.6,3,Buckypaper,,,,20628.393573248,,,Unaligned Few-wall CNTs,Real,FWCNT,2000_Optical and dc conductivity study of potassium-doped single-walled carbon nanotube films,325428.5714285714,0.1461283458884714,0,0,0.0,0,0,1.5306122448979596
REAL_0232,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2001,Meta-Analysis Database,8.6,455.6,12,Arc-discharge,,,,18700000.0,,,Individual Multiwall CNTs,Real,MWCNT,2001 Reliability and current carrying capacity of carbon nanotubes,52976.74418604651,0.934498501742923,0,0,0.0,0,0,0.16224986479177936
REAL_0233,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2001,Meta-Analysis Database,15.3,455.6,5,Arc-discharge,,,,8000000.0,,,Individual Multiwall CNTs,Real,MWCNT,2001 Reliability and current carrying capacity of carbon nanotubes,29777.777777777777,1.1846914592028581,0,0,0.0,0,0,0.021359306249733003
REAL_0237,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2001,Meta-Analysis Database,8.0,455.6,17,Arc-discharge,,,,500000.0,,,Individual Multiwall CNTs,Real,MWCNT,2001_Current saturation and electrical breakdown in multiwalled carbon nanotubes,56950.0,0.9030900412787504,0,0,0.0,0,0,0.265625
REAL_0238,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2001,Meta-Analysis Database,14.0,455.6,17,Arc-discharge,,,,300000.0,,,Individual Multiwall CNTs,Real,MWCNT,2001_Current saturation and electrical breakdown in multiwalled carbon nanotubes,32542.85714285714,1.1461280666992713,0,0,0.0,0,0,0.08673469387755102
REAL_0239,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2002,Meta-Analysis Database,1.0,455.6,2,Not Reported/ Can not calculate,,,,142000000.0,,,Individual FWCNT,Real,FWCNT,2002 Single-Walled Carbon Nanotube Electronics,455600.0,4.3429426472042774e-07,0,0,0.0,0,0,2.0
REAL_0240,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2002,Meta-Analysis Database,2.0,455.6,3,Not Reported/ Can not calculate,,,,53000000.0,,,Individual FWCNT,Real,FWCNT,2002 Single-Walled Carbon Nanotube Electronics,227800.0,0.3010302128111679,0,0,0.0,0,0,0.75
REAL_0241,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2002,Meta-Analysis Database,1.0,455.6,3,Not Reported/ Can not calculate,,,,200000000.0,,,Individual FWCNT,Real,FWCNT,2002 Single-Walled Carbon Nanotube Electronics,455600.0,4.3429426472042774e-07,0,0,0.0,0,0,3.0
REAL_0243,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2003,Meta-Analysis Database,1.3,455.6,2,Aligned Buckypaper,,,,812000.0,,,Aligned Few-wall CNTs,Real,FWCNT,2003 Magnetically aligned single wall carbon nanotube films: preferred orientation and anisotropic,350461.53846153844,0.11394368637938665,0,0,0.0,0,0,1.1834319526627217
REAL_0244,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2003,Meta-Analysis Database,1.3,455.6,3,Aligned Buckypaper,,,,109890.1098901098,,,Aligned Few-wall CNTs,Real,FWCNT,2003 Magnetically aligned single wall carbon nanotube films: preferred orientation and anisotropic,350461.53846153844,0.11394368637938665,0,0,0.0,0,0,1.7751479289940826
REAL_0257,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2004,Meta-Analysis Database,1.0,52700.0,2,Liquid Extrusion ,,,,499999.9999999999,0.116,120.0,Aligned Few-wall CNTs,Real,FWCNT,"2004 Macroscopic, Neat, Single-Walled Carbon Nanotube Fibers",52700000.0,4.3429426472042774e-07,0,0,0.0,0,0,2.0
REAL_0258,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2004,Meta-Analysis Database,1.0,455.6,4,Liquid Extrusion ,,,,49999.9999999999,,,Aligned Few-wall CNTs,Real,FWCNT,"2004 Macroscopic, Neat, Single-Walled Carbon Nanotube Fibers",455600.0,4.3429426472042774e-07,0,0,0.0,0,0,4.0
REAL_0265,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2005,Meta-Analysis Database,1.36,455.6,2,Buckypaper,,,,10000.0,,,Unaligned Few-wall CNTs,Real,FWCNT,2005 Charge transfer and Fermi level shift in p-doped single-walled carbon nanotubes,335000.0,0.13353922770427798,0,0,0.0,0,0,1.0813148788927334
REAL_0266,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2005,Meta-Analysis Database,1.36,455.6,4,Buckypaper,,,,71400.0,,,Unaligned Few-wall CNTs,Real,FWCNT,2005 Charge transfer and Fermi level shift in p-doped single-walled carbon nanotubes,335000.0,0.13353922770427798,0,0,0.0,0,0,2.1626297577854667
REAL_0267,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2005,Meta-Analysis Database,1.36,455.6,3,Buckypaper,,,,98000.0,,,Unaligned Few-wall CNTs,Real,FWCNT,2005 Charge transfer and Fermi level shift in p-doped single-walled carbon nanotubes,335000.0,0.13353922770427798,0,0,0.0,0,0,1.6219723183391
REAL_0273,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2005,Meta-Analysis Database,46.0,455.6,19,Individual MWCNT,,,,653000.0,,,Individual Multiwall CNTs,Real,MWCNT,"2005 Measurement of thermal conductivity of individual multiwalled carbon
nanotubes by the 3-_x0001_ method",9904.347826086956,1.6627578411227584,0,0,0.0,0,0,0.008979206049149339
REAL_0274,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2005,Meta-Analysis Database,42.0,455.6,14,Individual MWCNT,,,,602000.0,,,Individual Multiwall CNTs,Real,MWCNT,"2005 Measurement of thermal conductivity of individual multiwalled carbon
nanotubes by the 3-_x0001_ method",10847.619047619048,1.6232493007382451,0,0,0.0,0,0,0.007936507936507936
REAL_0286,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2005,Meta-Analysis Database,12.0,455.6,6,Not Reported/ Can not calculate,,,,130000.0,,,Individual Multiwall CNTs,Real,MWCNT,2005_Atomic-Scale Imaging ofWall-by-Wall Breakdown and Concurrent Transport Measurements in Multiwall Carbon Nanotubes,37966.666666666664,1.07918128223883,0,0,0.0,0,0,0.041666666666666664
REAL_0291,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2005,Meta-Analysis Database,8.500000000000004,455.6,12,Not Reported/ Can not calculate,,,,70000.0,,,Individual Multiwall CNTs,Real,MWCNT,2005_Atomic-Scale Imaging ofWall-by-Wall Breakdown and Concurrent Transport Measurements in Multiwall Carbon Nanotubes,53599.99999999998,0.9294189768077583,0,0,0.0,0,0,0.16608996539792373
REAL_0307,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,1.7,455.6,3,Unknown,,,,40220000.0,,,Individual FWCNT,Real,FWCNT,2007 Scaling of resistance and electron mean free path of single-walled carbon nanotubes,268000.0,0.23044917684554106,0,0,0.0,0,0,1.0380622837370244
REAL_0308,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,10.0,4000.0,10,Forest derived,,,,16999.9999999999,0.85,275.0,Aligned Multiwall CNTs,Real,MWCNT,"2007 Strong Carbon-Nanotube Fibers Spun from
Long Carbon-Nanotube Arrays",400000.0,1.000000043429446,0,0,0.0,0,0,0.1
REAL_0310,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,10.0,3000.0,6,Forest derived,,,,40999.9999999999,1.91,330.0,Aligned Multiwall CNTs,Real,MWCNT,"2007 Strong Carbon-Nanotube Fibers Spun from
Long Carbon-Nanotube Arrays",300000.0,1.000000043429446,0,0,0.0,0,0,0.06
