conductivity_Sm,diameter_nm,length_um,density_gcm3,tensile_strength_MPa,youngs_modulus_GPa,source
3300000.0,1.38,,1.1,,,meta-analysis-2021
1000000.0,1.38,,1.1,,,meta-analysis-2021
109887.8034537955,13.9,,2.1,,,meta-analysis-2021
43003.9784055522,8.5,,2.1,,,meta-analysis-2021
7313.5093957112,9.5,,2.1,,,meta-analysis-2021
18829.3052679274,12.4,,2.1,,,meta-analysis-2021
22646.8506723283,15.0,,2.1,,,meta-analysis-2021
16918.591544172497,18.5,,2.1,,,meta-analysis-2021
1180000.0,6.0,,,,,meta-analysis-2021
19200000.0,18.2,,2.1,,,meta-analysis-2021
99520.0,12.2,,2.1,,,meta-analysis-2021
480000.0,14.8,,2.1,,,meta-analysis-2021
190000.0,20.0,,2.1,,,meta-analysis-2021
1400000.0,20.0,,,,,meta-analysis-2021
258000.0,1.4,,1.1,,,meta-analysis-2021
18700000.0,1.0,,2.87,,,meta-analysis-2021
1975.13818071,1.4,,0.04,,,meta-analysis-2021
20628.393573248,1.4,,,,,meta-analysis-2021
18700000.0,8.6,,2.1,,,meta-analysis-2021
8000000.0,15.3,,2.1,,,meta-analysis-2021
500000.0,8.0,,2.1,,,meta-analysis-2021
300000.0,14.0,,2.1,,,meta-analysis-2021
142000000.0,1.0,,2.8,,,meta-analysis-2021
53000000.0,2.0,,1.47,,,meta-analysis-2021
200000000.0,1.0,,2.8,,,meta-analysis-2021
812000.0,1.3,514.5,0.9,,,meta-analysis-2021
109890.1098901098,1.3,514.5,0.6,,,meta-analysis-2021
499999.9999999999,1.0,,1.11,116.0,120.0,meta-analysis-2021
49999.9999999999,1.0,,,,,meta-analysis-2021
10000.0,1.36,632.0,,,,meta-analysis-2021
71400.0,1.36,632.0,,,,meta-analysis-2021
98000.0,1.36,632.0,,,,meta-analysis-2021
653000.0,46.0,,2.1,,,meta-analysis-2021
602000.0,42.0,,2.1,,,meta-analysis-2021
130000.0,12.0,,2.1,,,meta-analysis-2021
70000.0,8.500000000000004,,2.1,,,meta-analysis-2021
40220000.0,1.7,,1.76,,,meta-analysis-2021
16999.9999999999,10.0,,,850.0,275.0,meta-analysis-2021
40999.9999999999,10.0,,,1910.0,330.0,meta-analysis-2021
59520.0,7.0,,,,,meta-analysis-2021
81830.0,7.0,,,,,meta-analysis-2021
6999.9999999999,7.0,,,,,meta-analysis-2021
