paper_id,doi,title,year,journal,diameter_nm,length_um,layers,method,cvd_temperature_C,catalyst,carbon_source,conductivity_Sm,tensile_strength_GPa,youngs_modulus_GPa,notes,status,material_type,source_reference
CNT_113,SYNTHETIC_113,Synthetic data based on literature ranges (MWCNT),2012,Literature-based synthesis,26.76,599.1,16,Arc discharge,,,,898714.0,49.0,980.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_118,SYNTHETIC_118,Synthetic data based on literature ranges (MWCNT),2011,Literature-based synthesis,38.89,148.7,11,Arc discharge,,,,986831.0,43.0,405.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_143,SYNTHETIC_143,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,5.89,884.1,4,CVD,903.0,Ni,CH4,890767.0,65.8,695.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_058,SYNTHETIC_058,Synthetic data based on literature ranges (SWCNT),2014,Literature-based synthesis,1.88,50.8,1,CVD,881.0,Ni,CH4,2206519.0,123.8,879.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_037,SYNTHETIC_037,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,0.85,326.3,1,CVD,982.0,,,1538603.0,31.9,1450.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_161,SYNTHETIC_161,Synthetic data based on literature ranges (MWCNT),2021,Literature-based synthesis,32.91,709.4,7,Arc discharge,,,,654944.0,52.9,470.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_108,SYNTHETIC_108,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,4.54,913.6,8,CVD,710.0,Co,CO,349828.0,25.4,407.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_059,SYNTHETIC_059,Synthetic data based on literature ranges (SWCNT),2011,Literature-based synthesis,1.89,38.2,1,Arc discharge,,,,1335585.0,136.5,1046.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_086,SYNTHETIC_086,Synthetic data based on literature ranges (SWCNT),2015,Literature-based synthesis,2.76,300.9,1,Arc discharge,,,,1726564.0,89.8,861.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_022,SYNTHETIC_022,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,2.69,13.4,1,Arc discharge,,,,1163106.0,56.7,884.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_094,SYNTHETIC_094,Synthetic data based on literature ranges (SWCNT),2022,Literature-based synthesis,2.63,482.9,1,CVD,919.0,Co/Mo,CH4,624089.0,118.9,1202.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_111,SYNTHETIC_111,Synthetic data based on literature ranges (MWCNT),2016,Literature-based synthesis,25.61,502.0,5,CVD,959.0,Co/Mo,C2H2,343670.0,55.1,527.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_067,SYNTHETIC_067,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,2.18,296.3,1,Laser ablation,,,,625230.0,63.7,1465.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_016,SYNTHETIC_016,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,1.05,432.9,1,Arc discharge,,,,1363271.0,37.6,1018.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_179,SYNTHETIC_179,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,14.47,832.6,16,Arc discharge,,,,127348.0,75.2,948.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_123,SYNTHETIC_123,Synthetic data based on literature ranges (MWCNT),2020,Literature-based synthesis,5.21,174.6,12,CVD,727.0,Fe/Co,CH4,853371.0,40.6,1111.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_176,SYNTHETIC_176,Synthetic data based on literature ranges (MWCNT),2023,Literature-based synthesis,33.04,869.2,16,Arc discharge,,,,408388.0,47.3,379.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_011,SYNTHETIC_011,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.77,69.8,1,CVD,710.0,Co/Mo,CH4,1750470.0,67.4,1164.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_175,SYNTHETIC_175,Synthetic data based on literature ranges (MWCNT),2018,Literature-based synthesis,8.74,457.7,6,CVD,875.0,Ni,C2H2,531907.0,58.0,222.0,MWCNT synthetic data,Synthetic,MWCNT,
