Category,Conductivity (MSm-1),Density (g cm-3),Specific Conductivity (kS m2/kg),Electrical Anisotropy,Alignment figure of merit,Alignment method,Alignment FWHM,FWHM type,Raman G:D,Raman wavelength,(10^-12)*G:D λ^4,Doped or Acid Exposure (Yes/ No),Tensile Strength (MPa),Specific Strength (N/Tex),Young's Modulus (GPa),Unnamed: 16,Uber Parameter,Specific Uber Parameter,CNT Diameter (nm),Plottable CNT Diameter (nm),Date Entered and Checked ,Notes,Year,Production Process,Post Process,Intentionally added intercalation dope,Host Conductivity (MSm-1),Sorted Status,Bulk Fiber Diameter (microns),G Peak Position (cm-1),Thermal Conductivity (W/(m K)),T Star (K),R value at lowest temp,R value at 4.2 K,R value at 10 K,R value at 77 K,R value at 300 K,R(300K)/R(4.2K),R(300K)/R(10K),Reference,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Log Conductivity,Log Density,Log Specific Conductivity,Log Tensile Strength,Log Specific Strength,Log Youngs Modulus,Log Raman G:D Ratio,Log Raman (10^-12)*G:D λ^4,Log CNT Diameter,Log Fiber Diameter,Log Thermal Conductivity,Log (R(300K)/R(4.2)),Log (R(300K)/R(10)),Log Host Conductivity ,Log Thermal Conductivity ,Ampacity Measurement Config,Medium 1,Substrate,Absolute I max (mA),Absolute J max (A/m2),Specific J max (mA/tex),Absolute J failure (A/m2,Specific J failure (mA/tex),Breakdown Temp (oC),Medium 2,Substrate 2,Absolute I max (mA).1,Absolute J max (A/m2).1,Specific J max (mA/tex).1,Absolute J failure (A/m2.1,Specific J failure (mA/tex).1,Probe separation for Electrical conductivity (microns),Probe separation for Ampacity (microns),Notes on ampacity,Substrate for ampacity (Yes/No),Notes on substrate ,Log (Jmax in Air (A/m2)),Log (Jmax in Vacuum(A/m2)),Bulk fibre diameter (nm),Log (Bulk fibre diameter (nm)),Effective diameter for ampacity (nm),Log (Effective diameter for ampacity (nm)),Notes on diameter,Category 2,Diameter Regime,Log (Probe separation for ampacity (microns)),Probe separation regime
Metal,Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200508,"Cu wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,203.20000000000002,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,0.9493900066449128,,,,,,,,2.307923703611882,,,,,,Two-probe,Air,Not Reported/ Can not calculate,3849,118689041.47046955,13.335847356232534,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,8.074410622504656,,203200.00000000003,5.307923703611881,203200.00000000003,5.307923703611881,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200508,"Cu wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,355.6,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,0.9493900066449128,,,,,,,,2.5509617522981762,,,,,,Two-probe,Air,Not Reported/ Can not calculate,7654,77068174.47754563,8.659345446915239,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.886875071925957,,355600,5.550961752298176,355600,5.550961752298176,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200510,"Cu wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,457.2,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,0.9493900066449128,,,,,,,,2.660106221723244,,,,,,Two-probe,Air,Not Reported/ Can not calculate,11269,68640913.41118439,7.712462181031953,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.836583054077212,,457200,5.660106221723244,457200,5.660106221723244,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200510,"Cu wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,508,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,0.9493900066449128,,,,,,,,2.7058637122839193,,,,,,Two-probe,Air,Not Reported/ Can not calculate,13711,67647511.46174522,7.6008439844657545,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.830251824905399,,508000,5.705863712283919,508000,5.705863712283919,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200512,"Cu wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,609.6,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,0.9493900066449128,,,,,,,,2.785044958331544,,,,,,Two-probe,Air,Not Reported/ Can not calculate,16832,57670793.16506289,6.479864400568864,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.760955924444385,,609600,5.785044958331544,609600,5.785044958331544,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200512,"Cu wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,762,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,0.9493900066449128,,,,,,,,2.8819549713396007,,,,,,Two-probe,Air,Not Reported/ Can not calculate,23969,52559362.78986284,5.905546380883465,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.720650091359108,,762000,5.8819549713396,762000,5.8819549713396,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200516,"Pt wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,965.2,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,1.331427296520743,,,,,,,,2.984617313236748,,,,,,Two-probe,Air,Not Reported/ Can not calculate,13461,18397246.03486883,0.8576804678260527,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.264752816413069,,965200,5.984617313236749,965200,5.984617313236749,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200516,"Pt wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,508,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,1.331427296520743,,,,,,,,2.7058637122839193,,,,,,Two-probe,Air,Not Reported/ Can not calculate,6841,33752215.44087222,1.5735298573833203,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.52830228449054,,508000,5.705863712283919,508000,5.705863712283919,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200516,"Pt wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,457.2,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,1.331427296520743,,,,,,,,2.660106221723244,,,,,,Two-probe,Air,Not Reported/ Can not calculate,5785,35237171.362472415,1.6427585716770357,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.547001038475108,,457200,5.660106221723244,457200,5.660106221723244,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
Metal,Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,No,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20200516,"Pt wire, current for luminosity",1888.0,Not Reported/ Can not calculate,As-is,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,355.6,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,1888_On the heating effects of electric currents,,,,,12,,1.331427296520743,,,,,,,,2.5509617522981762,,,,,,Two-probe,Air,Not Reported/ Can not calculate,4739,47717021.01503642,2.224569744290742,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,no,,7.678673322736877,,355600,5.550961752298176,355600,5.550961752298176,,Metal,large,Not reported/Can not calculate,Not reported/Can not calculate
