Conductivity (MSm-1),Density (g cm-3),Specific Conductivity (kS m2/kg),Raman wavelength,Tensile Strength (MPa),Specific Strength (N/Tex),Young's Modulus (GPa),CNT Diameter (nm),Plottable CNT Diameter (nm),Host Conductivity (MSm-1),Bulk Fiber Diameter (microns),Thermal Conductivity (W/(m K)),Log Conductivity,Log Density,Log Specific Conductivity,Log Tensile Strength,Log Specific Strength,Log Youngs Modulus,Log CNT Diameter,Log Fiber Diameter,Log Thermal Conductivity,Log Host Conductivity ,Log Thermal Conductivity ,Probe separation for Electrical conductivity (microns),Bulk fibre diameter (nm),Log (Bulk fibre diameter (nm)),Effective diameter for ampacity (nm),Log (Effective diameter for ampacity (nm)),Notes on diameter,Diameter Regime
Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,203.20000000000002,Not Reported/ Can not calculate,,0.9493900066449128,,,,,,2.307923703611882,,,,Not Reported/ Can not calculate,203200.00000000003,5.307923703611881,203200.00000000003,5.307923703611881,,large
Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,355.6,Not Reported/ Can not calculate,,0.9493900066449128,,,,,,2.5509617522981762,,,,Not Reported/ Can not calculate,355600,5.550961752298176,355600,5.550961752298176,,large
Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,457.2,Not Reported/ Can not calculate,,0.9493900066449128,,,,,,2.660106221723244,,,,Not Reported/ Can not calculate,457200,5.660106221723244,457200,5.660106221723244,,large
Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,508,Not Reported/ Can not calculate,,0.9493900066449128,,,,,,2.7058637122839193,,,,Not Reported/ Can not calculate,508000,5.705863712283919,508000,5.705863712283919,,large
Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,609.6,Not Reported/ Can not calculate,,0.9493900066449128,,,,,,2.785044958331544,,,,Not Reported/ Can not calculate,609600,5.785044958331544,609600,5.785044958331544,,large
Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,762,Not Reported/ Can not calculate,,0.9493900066449128,,,,,,2.8819549713396007,,,,Not Reported/ Can not calculate,762000,5.8819549713396,762000,5.8819549713396,,large
Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,965.2,Not Reported/ Can not calculate,,1.331427296520743,,,,,,2.984617313236748,,,,Not Reported/ Can not calculate,965200,5.984617313236749,965200,5.984617313236749,,large
Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,508,Not Reported/ Can not calculate,,1.331427296520743,,,,,,2.7058637122839193,,,,Not Reported/ Can not calculate,508000,5.705863712283919,508000,5.705863712283919,,large
Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,457.2,Not Reported/ Can not calculate,,1.331427296520743,,,,,,2.660106221723244,,,,Not Reported/ Can not calculate,457200,5.660106221723244,457200,5.660106221723244,,large
Not Reported/ Can not calculate,21.45,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,355.6,Not Reported/ Can not calculate,,1.331427296520743,,,,,,2.5509617522981762,,,,Not Reported/ Can not calculate,355600,5.550961752298176,355600,5.550961752298176,,large
